,index,Super Group Code,Group Code,Client code,Transaction Currency,Transaction Base Currency,Transaction Currency Classification,Category,Commodity Code,Market Code,Exchange,Exchange Instrument Code,Delivery Month,Trade Date,Description,Instrument Currency,Bought Price,Sold Price,Settlement Amount,Effective Date,Input Date,Bought Quantity,Sold  Quantity,Future/Option,Exercise Date,Exercise Price,Put/Call,FX Bought/Sold,FX Amount,FX Currency,FX Base Currency,FX Currency Classification,Executing Broker Code,Bought or Sold,ASX code,Instrument Type,Journal GST amount,Sub Category,Bought Side Trade Date,Sold Side Trade Date,GCS Journal Type,Trading Venue,Bought Side Client Deal Id,Sold Side Client Deal Id,Portfolio Code,Pending Delivery Contract Flag,Delivery Date,Contract Reference No,Bought Side Reference No.,Sold Side Refernece No.,Exercise Style,Tick Value,Tick Size,Contract Size,Clearing Commission Amount,Clearing Commission GST Amount,Clearing Commission Currency,Clearing Commission Base Currency,Clearing Commission Currency Classification,Executing Commission Amount,Executing Commission GST Amount,Executing Commission Currency,Executing Commission Base Currency,Executing Commission Currency Classification,Exchange Fee Amount,Exchange Fee GST Amount,Exchange Fee Currency,Exchange Fee Base Currency,Exchange Fee Currency Classification,Pit Brokerage Amount,Pit Brokerage GST Amount,Pit Brokerage Currency,Pit Brokerage Base Currency,Pit Brokerage Currency Classification,Badge Id,EFP GST Amount,EFP Amount,Commodity Name,Market Name,Account Name,Group Name,Super Group Name,Market Zone Code
0,0,BIOURJA ,5231143R,52311430,USD,USD,Segregated,H,    ,   ,   ,               ,     ,        ,1494985/TRN7949937                                ,                                                  ,                     ,                     ,-882524.96,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              , ,        ,        ,C,  ,                     ,                     , , ,        ,99859886,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
1,1,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 02/01/23          ,                                                  ,                     ,                     ,110.14,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99586224,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
2,2,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 03/01/23          ,                                                  ,                     ,                     ,177.74,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99597557,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
3,3,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 04/01/23          ,                                                  ,                     ,                     ,222.45,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99608215,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
4,4,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 05/01/23          ,                                                  ,                     ,                     ,275.72,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99618660,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
5,5,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 06/01/23          ,                                                  ,                     ,                     ,860.45,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99629570,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
6,6,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 09/01/23          ,                                                  ,                     ,                     ,279.46,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99646054,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
7,7,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 10/01/23          ,                                                  ,                     ,                     ,245.17,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99656429,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
8,8,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 11/01/23          ,                                                  ,                     ,                     ,269.69,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99677219,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
9,9,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 12/01/23          ,                                                  ,                     ,                     ,376.67,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99689305,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
